Participants,Armour,Mass,Speed,lateral_kjcf_peak_noOut,medial_kjcf_first_peak_noOut,medial_kjcf_second_peak_noOut,total_kjcf_first_peak_noOut,total_kjcf_second_peak_noOut,vest_fit_f,vest_comfort_f,offset_f,belt_fit_f,belt_comfort_f,shoulders_comf_f,hips_comf_f,knees_comf_f
7,cARM2,30,Moderate,1.759964004,2.584470202,1.210301466,3.198610645,2.987391501,1,1,1,0,0,1,1,0
8,cARM2,30,Moderate,3.240776289,5.513449354,3.579084863,7.026437942,6.790614685,1,1,1,1,1,1,1,0
9,cARM2,30,Moderate,3.823049103,3.387099047,1.046937193,3.518813001,4.652436901,0,0,1,0,0,1,1,1
10,cARM2,30,Moderate,2.796544351,2.513589002,3.773612993,3.985702957,6.55162018,1,1,1,1,1,0,1,1
11,cARM2,30,Moderate,1.877092619,3.503431638,2.344422721,4.419579388,4.195221148,1,1,1,1,1,0,1,0
12,cARM2,30,Moderate,2.991029319,3.960376714,1.936835766,4.359821466,4.655687012,1,1,1,1,1,1,1,0
13,cARM2,30,Moderate,2.979931941,3.195163437,0.654839756,3.180344876,4.084191142,1,1,1,1,1,0,1,1
14,cARM2,30,Moderate,2.589122064,3.060381172,1.207400819,3.633600747,3.774879632,0,1,0,0,0,1,1,1
15,cARM2,30,Moderate,1.870633963,3.468633653,1.745522778,3.720004824,3.672854154,1,1,1,0,0,1,1,0
16,cARM2,30,Moderate,2.165192596,4.596323979,4.355414413,5.655302839,5.792777562,1,1,1,1,1,0,1,0
17,cARM2,30,Moderate,4.959664895,2.780200545,2.145483337,4.938670574,5.792777562,1,1,1,1,0,1,1,0
18,cARM2,30,Moderate,3.092642897,2.880874891,4.998815958,5.709292202,7.011807832,0,0,0,0,0,0,1,0
19,cARM2,30,Moderate,2.260631017,1.96684746,2.830329197,4.245857339,2.947478224,1,1,1,1,1,1,1,0
20,cARM2,30,Moderate,1.963558316,2.731533447,2.849042078,2.975225081,4.899246553,1,1,0,1,0,1,1,1
1,pARM1,15,Fast,1.620059622,3.196492769,2.939836392,3.320436043,3.689615186,1,1,1,0,0,1,1,0
2,pARM1,15,Fast,3.133341661,4.182218717,0.799417042,5.018746091,3.952479379,1,1,1,0,0,1,1,0
3,pARM1,15,Fast,3.084464705,4.460878084,3.135356188,4.54884115,7.735258984,1,1,1,1,1,1,1,0
4,pARM1,15,Fast,2.790224379,3.692796629,1.100669717,4.328874331,4.574504682,1,1,1,1,1,1,1,1
5,pARM1,15,Fast,1.73898527,3.661815338,1.448642213,4.623312676,4.052762507,1,1,1,1,1,0,0,0
6,pARM1,15,Fast,3.850730998,3.344924386,2.654131955,3.321236359,6.262602452,1,1,1,0,0,0,1,0
7,pARM1,15,Fast,1.766230266,2.719001782,1.70207498,3.151039881,3.961601483,1,1,1,1,1,0,0,0
8,pARM1,15,Fast,2.316795603,3.491932806,1.662572302,4.419579388,3.868899663,1,1,1,1,1,0,1,0
9,pARM1,15,Fast,2.540485282,2.794145759,1.205218238,3.526038949,3.17597559,1,1,1,1,1,0,1,0
10,pARM1,15,Fast,2.436323201,3.123813245,3.004015767,3.726600761,5.479845816,1,1,1,0,1,1,1,0
11,pARM1,15,Fast,1.057986923,3.717471203,2.241729047,4.31239144,3.415357232,1,1,1,1,1,0,0,0
12,pARM1,15,Fast,3.70595355,4.485962583,1.685403147,4.969346542,5.273150336,1,1,1,1,1,0,1,0
13,pARM1,15,Fast,2.108640539,3.400706096,2.405397163,3.62442559,4.688817706,1,1,1,1,0,0,1,0
14,pARM1,15,Fast,2.362589342,3.449054096,0.71286815,3.898275228,3.479898917,1,1,1,1,1,0,0,0
15,pARM1,15,Fast,1.362530205,3.359080504,2.364057971,3.796794313,3.668390014,1,1,1,0,0,1,1,1
16,pARM1,15,Fast,4.563096191,4.839699537,1.680818926,5.671279133,4.812421929,1,1,1,0,1,0,1,0
17,pARM1,15,Fast,3.601139655,3.085511006,1.48319294,3.991776781,5.015457977,1,1,1,1,1,1,0,0
18,pARM1,15,Fast,2.786720567,3.745134683,4.170488462,5.949163787,7.131753887,1,1,1,1,1,0,0,0
19,pARM1,15,Fast,3.252459404,3.027373155,0.952978538,3.770062609,3.77364895,1,1,1,1,1,0,0,0
20,pARM1,15,Fast,2.603343771,4.604331263,0.810037056,5.616806236,5.357976367,1,1,0,1,1,0,0,0
1,pARM1,30,Fast,2.136031119,5.099156667,1.776238237,5.471521995,4.832410962,1,1,1,0,0,1,1,0
2,pARM1,30,Fast,3.054755639,4.6293269,0.844022477,5.097835838,4.830017163,1,1,1,0,0,1,1,0
3,pARM1,30,Fast,2.69195924,3.196492769,1.177096645,6.001886489,4.841296014,1,1,1,0,0,1,1,0
4,pARM1,30,Fast,2.444397125,4.806563192,1.490204558,5.746126309,3.704007941,0,0,1,0,0,1,1,1
5,pARM1,30,Fast,2.831567122,4.41026566,1.588733154,5.843590908,5.123210592,0,0,1,0,0,1,1,1
6,pARM1,30,Fast,3.555119227,3.288283457,4.967213885,7.639261638,3.583095913,0,0,1,0,0,1,0,0
7,pARM1,30,Fast,2.140142762,3.19630576,0.898849839,3.383233204,4.496938856,1,1,1,1,1,0,0,0
8,pARM1,30,Fast,2.893260297,3.441609396,0.898849839,4.540241105,4.1149644,1,1,1,0,0,1,1,1
9,pARM1,30,Fast,3.416090418,3.393878451,0.926031391,4.540241105,4.093247726,1,1,1,1,1,1,1,1
